Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
577.502,908.401,161.806,119.075
580.683,890.847,164.527,117.796
579.344,873.939,167.673,115.689
588.244,854.882,169.794,115.308
609.699,837.887,169.579,117.436
622.485,824.287,169.843,118.224
806.667,810.688,142.852,149.97
857.733,817.025,134.432,160.271
1030.66,790.758,107.017,186.486
1026.15,769.209,107.364,181.348
1049.77,774.482,103.357,186.506
1052.54,738.811,101.797,179.618
1043.32,740.722,103.593,178.478
1048.24,724.883,102.216,176.044
1036.3,719.578,104.425,173.021
1030.63,701.728,105.177,168.506
1014.97,690.46,108.236,163.796
1008.04,672.631,109.499,159.213
1004.74,668.189,110.177,157.841
999.007,649.72,111.308,153.386
991.89,642.289,112.9,150.905
987.802,635.867,113.831,149.077
991.195,609.597,112.943,144.519
990.822,597.057,112.991,142.061
990.686,625.997,113.123,147.597
995.95,622.507,111.85,147.674
1002.61,638.3,110.389,151.694
1003.06,611.7,110.053,146.581
1008.28,610.63,108.766,147.102
1013.37,607.227,107.477,147.143
996.199,816.375,112.914,185.396
1007.16,610.677,109.042,146.954
1007.16,597.548,108.904,144.391
1006.7,1098.93,114.245,243.698
996.967,1097,114.541,240.959
989.471,1095.95,114.781,238.943
994.894,1069.32,114.46,234.96
989.845,2009.23,115,253.71
987.661,1703.01,115,253.149
986.174,1685.43,115,252.767
977.267,2050.84,115,250.478
975.847,2068.47,115,250.113
975.43,2671.96,115,250.006
975.152,2663.88,115,249.935
968.374,2635.35,115,248.193
966.365,2620.4,115,247.677
795.043,2638.73,115,203.657
